<run.halo.app.controller.admin.api.SheetController$$InterceptorProxy: void <init>()>-><synthetic.method.SingletonFactory: run.halo.app.controller.admin.api.SheetController getSheetController()>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: run.halo.app.handler.theme.config.support.ThemeProperty getActivateTheme(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: void <init>(org.springframework.core.convert.ConversionService)>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: java.util.List listExportedData(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.BackupController$$SpringCGLIB: java.util.List listExportedData()>
<run.halo.app.controller.content.api.PostController$$InterceptorProxy: void like(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.content.MainController$$InterceptorProxy: void logo(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.admin.api.LogController$$InterceptorProxy: void clear(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: void <init>(org.springframework.core.convert.ConversionService)>
<run.halo.app.controller.admin.api.SheetCommentController$$InterceptorProxy: run.halo.app.model.dto.BaseCommentDTO deletePermanently(java.lang.Long,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: void <init>(org.springframework.core.convert.ConversionService)>
<run.halo.app.controller.admin.api.SheetCommentController$$InterceptorProxy: run.halo.app.model.dto.BaseCommentDTO updateStatusBy(java.lang.Long,run.halo.app.model.enums.CommentStatus,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.content.api.ThemeController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>-><org.springframework.web.servlet.resource.ResourceUrlProvider: void <init>()>
<run.halo.app.controller.content.api.PostController$$InterceptorProxy: run.halo.app.model.vo.PostDetailVO getBy(java.lang.String,java.lang.Boolean,java.lang.Boolean,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: void <init>(org.springframework.core.convert.ConversionService)>
<run.halo.app.controller.admin.api.AttachmentController$$InterceptorProxy: run.halo.app.model.dto.AttachmentDTO uploadAttachment(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.AttachmentController$$SpringCGLIB: void <init>()>
<run.halo.app.controller.admin.api.TagController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>-><org.springframework.web.servlet.resource.ResourceUrlProvider: void setApplicationContext(org.springframework.context.ApplicationContext)>
<run.halo.app.controller.content.api.OptionController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>-><org.springframework.web.servlet.resource.ResourceUrlProvider: void setApplicationContext(org.springframework.context.ApplicationContext)>
<run.halo.app.controller.content.ContentContentController$$InterceptorProxy: java.lang.String content(java.lang.String,java.lang.String,java.lang.Integer,org.springframework.ui.Model,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.content.ContentContentController$$InterceptorProxy: java.lang.String getString()>
<run.halo.app.controller.content.ContentFeedController$$InterceptorProxy: java.lang.String feed(org.springframework.ui.Model,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: void updateContentBy(run.halo.app.model.params.ThemeContentParam,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.admin.api.StaticStorageController$$InterceptorProxy: void rename(java.lang.String,java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.StaticStorageController$$SpringCGLIB: void rename(java.lang.String,java.lang.String)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: java.util.List customPostTemplate(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.TagController$$InterceptorProxy: run.halo.app.model.dto.TagDTO getBy(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.content.MainController$$InterceptorProxy: void admin(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.content.api.JournalController$$InterceptorProxy: org.springframework.data.domain.Page listCommentsTree(java.lang.Integer,int,org.springframework.data.domain.Sort,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.content.api.SheetController$$InterceptorProxy: run.halo.app.model.dto.BaseCommentDTO comment(run.halo.app.model.params.SheetCommentParam,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.content.api.TagController$$InterceptorProxy: org.springframework.data.domain.Page listPostsBy(java.lang.String,org.springframework.data.domain.Pageable,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.admin.api.SheetCommentController$$InterceptorProxy: org.springframework.data.domain.Page listCommentTree(java.lang.Integer,int,org.springframework.data.domain.Sort,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.PhotoController$$InterceptorProxy: java.util.List listTeams(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.content.api.OptionController$$InterceptorProxy: java.util.Map comment(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.StatisticController$$InterceptorProxy: run.halo.app.model.dto.StatisticWithUserDTO statisticsWithUser(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.JournalCommentController$$InterceptorProxy: org.springframework.data.domain.Page listComments(java.lang.Integer,int,org.springframework.data.domain.Sort,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.JournalCommentController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>
<run.halo.app.controller.admin.api.AttachmentController$$InterceptorProxy: run.halo.app.model.dto.AttachmentDTO updateBy(java.lang.Integer,run.halo.app.model.params.AttachmentParam,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.content.api.JournalController$$InterceptorProxy: org.springframework.data.domain.Page listTopComments(java.lang.Integer,int,org.springframework.data.domain.Sort,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.PostCommentController$$InterceptorProxy: run.halo.app.model.dto.BaseCommentDTO deletePermanently(java.lang.Long,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.PostCommentController$$SpringCGLIB: run.halo.app.model.dto.BaseCommentDTO deletePermanently(java.lang.Long)>
<run.halo.app.controller.admin.api.AdminController$$InterceptorProxy: void sendResetCode(run.halo.app.model.params.ResetPasswordParam,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.PhotoController$$InterceptorProxy: java.util.List listTeams(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.MenuController$$InterceptorProxy: java.util.List teams(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.AdminController$$InterceptorProxy: boolean isInstall(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.admin.api.PostCommentController$$InterceptorProxy: java.util.List listLatest(int,run.halo.app.model.enums.CommentStatus,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.PostCommentController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>
<run.halo.app.controller.admin.api.StaticStorageController$$InterceptorProxy: void rename(java.lang.String,java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.admin.api.SheetController$$InterceptorProxy: run.halo.app.model.vo.SheetDetailVO deleteBy(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.SheetCommentController$$InterceptorProxy: java.util.List listLatest(int,run.halo.app.model.enums.CommentStatus,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: org.springframework.http.ResponseEntity downloadExportedData(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.UserController$$InterceptorProxy: run.halo.app.model.vo.MultiFactorAuthVO updateMFAuth(run.halo.app.model.params.MultiFactorAuthParam,run.halo.app.model.entity.User,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.admin.api.OptionController$$InterceptorProxy: org.springframework.data.domain.Page listAllWithListView(org.springframework.data.domain.Pageable,run.halo.app.model.params.OptionQuery,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.OptionController$$SpringCGLIB: org.springframework.data.domain.Page listAllWithListView(org.springframework.data.domain.Pageable,run.halo.app.model.params.OptionQuery)>
<run.halo.app.controller.admin.api.UserController$$InterceptorProxy: run.halo.app.model.dto.UserDTO updateProfile(run.halo.app.model.params.UserParam,run.halo.app.model.entity.User,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.content.MainController$$InterceptorProxy: void favicon(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)>-><run.halo.app.controller.content.MainController$$SpringCGLIB: void favicon(javax.servlet.http.HttpServletResponse)>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: org.springframework.http.ResponseEntity downloadBackup(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.UserController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>-><org.springframework.web.servlet.resource.ResourceUrlProvider: void setApplicationContext(org.springframework.context.ApplicationContext)>
<run.halo.app.controller.admin.api.PostController$$InterceptorProxy: void likes(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.JournalCommentController$$InterceptorProxy: java.util.List listLatest(int,run.halo.app.model.enums.CommentStatus,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.content.api.JournalController$$InterceptorProxy: org.springframework.data.domain.Page listTopComments(java.lang.Integer,int,org.springframework.data.domain.Sort,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: run.halo.app.handler.theme.config.support.ThemeProperty uploadTheme(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: void <init>(org.springframework.core.convert.ConversionService)>
<run.halo.app.controller.admin.api.PhotoController$$InterceptorProxy: void deletePermanently(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.PhotoController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>
<run.halo.app.controller.content.MainController$$InterceptorProxy: java.lang.String version(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.content.api.PostController$$InterceptorProxy: run.halo.app.model.vo.PostDetailVO getPrevPostBy(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: run.halo.app.model.support.BaseResponse exists(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.AdminController$$InterceptorProxy: boolean isInstall(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.AdminController$$SpringCGLIB: boolean isInstall()>
<run.halo.app.controller.admin.api.SheetController$$InterceptorProxy: void updateStatusBy(java.lang.Integer,run.halo.app.model.enums.PostStatus,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.PhotoController$$InterceptorProxy: void deletePermanently(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void afterCompletion(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,java.lang.Exception)>
<run.halo.app.controller.content.api.ThemeController$$InterceptorProxy: java.util.Map listSettingsBy(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void afterCompletion(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,java.lang.Exception)>
<run.halo.app.controller.admin.api.PostController$$InterceptorProxy: run.halo.app.model.dto.post.BasePostMinimalDTO updateStatusBy(java.lang.Integer,run.halo.app.model.enums.PostStatus,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: run.halo.app.handler.theme.config.support.ThemeProperty getActivateTheme(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: run.halo.app.handler.theme.config.support.ThemeProperty updateThemeByUpload(java.lang.String,org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: void deleteBackup(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.content.ContentSearchController$$InterceptorProxy: java.lang.String search(org.springframework.ui.Model,java.lang.String,java.lang.Integer,org.springframework.data.domain.Sort,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.content.ContentSearchController$$SpringCGLIB: void <init>()>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: void deleteBackup(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.content.api.UserController$$InterceptorProxy: run.halo.app.model.dto.UserDTO getProfile(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.PostCommentController$$InterceptorProxy: run.halo.app.model.dto.BaseCommentDTO deletePermanently(java.lang.Long,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.handler.ConversionServiceExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.content.ContentFeedController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>-><org.springframework.web.servlet.resource.ResourceUrlProvider: void setHandlerMap(java.util.Map)>
<run.halo.app.controller.admin.api.StaticStorageController$$InterceptorProxy: void upload(java.lang.String,org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.content.MainController$$InterceptorProxy: void favicon(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.content.MainController$$InterceptorProxy: void favicon(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)>-><run.halo.app.controller.content.MainController$$SpringCGLIB: void <init>()>
<run.halo.app.controller.admin.api.TagController$$InterceptorProxy: run.halo.app.model.dto.TagDTO updateBy(java.lang.Integer,run.halo.app.model.params.TagParam,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.MenuController$$InterceptorProxy: java.util.List updateBatchBy(java.util.List,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.MenuController$$SpringCGLIB: void <init>()>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: run.halo.app.model.support.BaseResponse getContentBy(java.lang.String,java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.content.MainController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>-><org.springframework.web.servlet.resource.ResourceUrlProvider: void setHandlerMap(java.util.Map)>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: run.halo.app.model.dto.BackupDTO getDataBackup(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void afterCompletion(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,java.lang.Exception)>
<run.halo.app.controller.content.ContentContentController$$InterceptorProxy: java.lang.String password(java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.content.ContentContentController$$InterceptorProxy: java.lang.String getString()>
